Sentence,rank
"""At Nym, we’re passionate about simplifying healthcare by automating the accurate interpretation of clinical language""
",2
"""Our interdisciplinary team has developed an innovative technology that can understand clinical language and provides an entirely new way of analyzing and decoding medical records into clear, concise, and actionable information""
",1
"""This ultimately ensures clinical and administrative teams can spend more time focused on patient care""
",1
"""At Nym, the future is bright""
",1
"""Our engine currently processes over five million charts annually in more than 150 emergency department and urgent care settings across the US""
",1
"""We are backed by top-tier VCs and growing rapidly, with offices in NYC and Tel Aviv""
",2
"""Design, develop, and deliver high-quality, scalable, reliable, and extensible products""
",2
"""Work within our multidisciplinary R&D teams (Software Engineers, Linguists and Medical Doctors) and with the Product Management team""
",2
"""Coach and develop members of the engineering team""
",2
"""3+ years of experience in backend software engineering""
",2
"""Expert Python knowledge and experience in large-scale systems""
",2
"""Excellent technical, leadership and organizational abilities""
",2
"""Outstanding communication, motivational, and interpersonal skills""
",2
"""Experience in both RDBMS (Postgres, MySQL, SQL Server) and NoSql databases""
",2
"""DoubleVerify is a big data and analytics company""
",2
"""We track and analyze tens of billions of ads every day for the biggest brands in the world like Apple, Nike, AT&T, Disney, Vodafone, and most of the Fortune 500 companies""
",2
"""If you ever saw an Ad online via Web, Mobile or CTV device then there are big chances that it was analyzed and tracked by us""
",2
"""We operate at a massive scale, our backend handles over 100B+ events per day, we analyze and process those events in real-time while making decisions on the environment where the ad is running and all the user interactions during the Ad display lifecycle""
",2
"""We verify that all Ads are Fraud Free, Brand Safe, in the right Geo and highly likely to be viewed and engaged, all that in less than a fraction of second""
",2
"""We are global, we have R&D centers in Tel Aviv, New York, Finland, Belgium and San Diego, we work in a fast-paced environment and have a lot of challenges to solve""
",1
"""If you like to solve big data challenges and want to help us build a better industry than your place is with us""
",1
"""You will join a team of experienced engineers and help them in developing our innovative measurement products to measure and protect digital ads""
",2
"""You will lead projects by architecting, designing and implementing solutions that will impact the core components of our system""
",2
"""You will be challenged to master a wide range of technologies and be proficient in data collection, stream processing, insight production and data lineage""
",2
"""You’ll develop new and awesome features while leveraging cloud native technology stack, do continuous improvements of our development process by adapting new technologies, and using them to solve product and engineering challenges while raising the bar of code quality and standards""
",1
"""5+ years of experience coding in an industry-standard language such as Scala, Node""
",2
"""js, C#, Java, Python, Go etc""
",1
"""Deep understanding of Computer Science fundamentals: object-oriented design, functional programming, data structures, multi-threading and distributed systems""
",2
"""Experience with in-memory distributed cache such as Aerospike or Redis and messaging systems such as Apache Kafka, etc""
",1
"""Experience working with Docker, Kubernetes and designing scalable microservices architecture""
",1
"""Experience in working with SQL (MySQL, PostgreSQL) and Columnar/NoSQL Databases such as (BigQuery, Vertica, Snowflake, Couchbase, Cassandra, etc""
",1
"""Experience working in a BigData environment and building scalable distributed systems with stream processing technologies such as Akka Streams, Kafka Streams/Spark/Flink""
",1
"""Experience working with cloud providers such as GCP or AWS""
",1
"""BSc in Computer Science or equivalent experience""
",1
"""Experience with Agile development, CI/CD pipelines (Git ,GitLab or Jenkins) and coding for automated testing""
",1
"""A versatile developer with a “getting-things-done” attitude""
",1
"""Previous experience with online advertising technologies is a big plus""
",1
"""Familiarity with the cloud-native computing foundation""
",1
"""As a Senior Backend Engineer, you will be responsible for developing and maintaining software solutions that are designed to meet high standards""
",1
"""In this role, you will work alongside a team of highly skilled engineers, collaborating to define and implement software features that are reliable, scalable, and secure""
",2
"""You will be expected to continuously learn and evaluate new technologies to improve software development processes""
",1
"""In addition to the technical aspects of the role, you will be responsible for ensuring that software development processes are efficient and effective""
",1
"""You will participate in code reviews to ensure that development standards are met, and you will develop and ensure that knowledge is shared across the team""
",1
"""Develop, design, and implement software solutions that meet high standards""
",1
"""Collaborate with cross-functional teams to define and implement software features""
",1
"""Debug and troubleshoot code issues to ensure software stability and reliability""
",1
"""Develop and maintain unit tests to ensure code quality and reduce the risk of bugs""
",1
"""Optimize software applications for performance, scalability, and security""
",1
"""Participate in code reviews to ensure that development standards are met""
",1
"""Develop and maintain technical documentation, including software design specifications and user manuals""
",1
"""Continuously learn and evaluate new technologies to improve software development processes""
",1
"""Design overall architecture of the web application""
",1
"""Collaborate with the rest of the engineering team to design and launch new features""
",1
"""Maintain code integrity and organization""
",1
"""Understand and implement security and data protection""
",1
"""Passion for working in a fast-paced environment""
",1
"""Strong analytical, organizational, time management, and problem-solving skills""
",2
"""Learning, mentoring, and growing inside the group""
",1
"""Please be informed that Intel is proactively trying to find candidates and that this position may not be available at this time""
",1
"""in Computer Science or equivalent professional experience""
",1
"""7+ years of experience as backend developer""
",1
